Department,District,Business,Adress,Acceptance,Category,Sub-category,Contact,Instagram,Facebook,X,Website
San Vicente,Tecoluca,PELUQUERÍA VLADIMIR,"13.4200369, -88.6997982",No,Other,Other vendors,68923470,,,,
Usulutan,Jiquilisco,Pupusería Jehova Jireh,"13.4187218, -88.7002707",No,Food & Beverage,Restaurants,71234509,,,,
Usulutan,Jiquilisco,Variedades Angelique,"13.4185985, -88.7003018",No,Retail,Retailers,63497812,,,,
San Vicente,Tecoluca,LA NUEZ DE ORO,"13.4207184, -88.6986209",No,Other,Other vendors,74561298,,,,
Usulutan,Jiquilisco,mixheladossv,"13.418492, -88.7002616",No,Food & Beverage,Restaurants,25689012,,,,
San Vicente,Tecoluca,Rajo Oficina Juridica,"13.4207731, -88.6968362",No,Other,Other vendors,22109876,,,,
Usulutan,Jiquilisco,Tacos marinita,"13.4213736, -88.6968669",No,Food & Beverage,Restaurants,69871234,,,,
Usulutan,Jiquilisco,Peluquería y Barbería Dubon,"13.4084813, -88.675443",No,Food & Beverage,Restaurants,6031 7594,,,,
Usulutan,Jiquilisco,Libreria Y Variedades Maury,"13.417486, -88.5731211",No,Retail,Retailers,7783 0765,,,,
Usulutan,Jiquilisco,Ferreteria Alfa y Omega,"13.4176914, -88.5726259",No,Retail,Retailers,7138 2180,,,,
Usulutan,Jiquilisco,Mini librería Alisson,"13.4190689, -88.5720832",No,Retail,Retailers,-,,,,
Usulutan,Jiquilisco,BARRA THE BROTHER’S,"13.4173401, -88.5721911",No,Food & Beverage,Restaurants,-,,,,
Usulutan,Jiquilisco,J&D Store,"13.4200614, -88.5471538",No,Retail,Retailers,6057 0821,,,,
Usulutan,Jiquilisco,Freyas Nails by Mery,"13.4162435, -88.4983237",No,Other,Other vendors,-,,,,
Usulutan,Jiquilisco,Vivero El Jardín de Betsabé,"13.4203746, -88.4993656",No,Other,Other vendors,-,,,,
Usulutan,Jiquilisco,Pupusería menche,"13.4188222, -88.3945577",No,Food & Beverage,Restaurants,-,,,,
Usulutan,Jiquilisco,Tienda Ana,"13.4224534, -88.3780263",No,Retail,Retailers,-,,,,
San Miguel,San Miguel,Chica's Barber,"13.4157007, -88.3602439",No,Food & Beverage,Restaurants,-,,,,
Usulutan,Jiquilisco,Taller de motos,"13.4139936, -88.3804444",No,Other,Other vendors,-,,,,
Usulutan,Jiquilisco,Peluquería Luis,"13.4187843, -88.3824002",No,Other,Other vendors,6189 7979,,,,
Usulutan,Jiquilisco,ARAJA,"13.4181589, -88.3836704",No,Other,Other vendors,-,,,,
San Miguel,San Jorge,Tienda De Medicina Natural,"13.417683, -88.3395426",No,Retail,Retailers,7239 0108,,,,
San Miguel,San Jorge,Carwash Niña Mary,"13.4182064, -88.3433869",No,Other,Other vendors,6008 3907,,,,
San Miguel,San Jorge,Tienda Alas,"13.4199863, -88.3439126",No,Retail,Retailers,-,,,,
San Miguel,San Jorge,Taller Enderezado & pintura huella,"13.419308, -88.3440703",No,Other,Other vendors,-,,,,
San Miguel,San Jorge,Bazar Verónica,"13.419308, -88.3440709",No,Retail,Retailers,7902 6265,,,,
San Miguel,San Jorge,Taller AVEL,"13.4191526, -88.3441113",No,Other,Other vendors,7215 0739,,,,
San Miguel,San Jorge,Carwash Teresita,"13.4184523, -88.3441932",No,Other,Other vendors,-,,,,
San Miguel,San Jorge,El Changarro Comedor y Bebidas,"13.4271358, -88.3155382",No,Food & Beverage,Restaurants,-,,,,
San Miguel,San Jorge,Accesorios bonilla,"13.4219925, -88.3206606",No,Other,Other vendors,7246 2309,,,,
San Miguel,San Jorge,Cyber GMZ,"13.4221161, -88.3207674",No,Other,Other vendors,-,,,,
San Miguel,San Jorge,Erick Barber,"13.425292, -88.3198274",No,Food & Beverage,Restaurants,7267 4306,,,,
San Miguel,San Jorge,Tienda silvia,"13.421056, -88.3231366",No,Retail,Retailers,-,,,,
San Miguel,San Jorge,Abinail's,"13.4239813, -88.2286373",No,Retail,Retailers,-,,,,
San Miguel,San Jorge,Comala Market,"13.4113396, -88.195825",No,Retail,Retailers,7899 9060,,,,
San Miguel,San Jorge,Restaurante El sopón La bendición de Dioos,"13.4106402, -88.1959502",No,Food & Beverage,Restaurants,-,,,,
San Miguel,San Jorge,Taller Automotriz Navarrete,"13.4200211, -88.1513313",No,Other,Other vendors,7121 5399,,,,
San Miguel,San Jorge,Tienda Las Gemelas,"13.4203046, -88.1512641",No,Retail,Retailers,-,,,,
San Miguel,San Jorge,Agrollantas El Salvador.,"13.4257242, -88.1530466",No,Other,Other vendors,2668 2620,,,,
San Miguel,San Jorge,Restaurante Los Cuatro Hermanos #1,"13.4271647, -88.1530331",No,Food & Beverage,Restaurants,-,,,,
San Miguel,San Jorge,Car Wash Los Cuatro Hermanos,"13.4272304, -88.1529393",No,Other,Other vendors,-,,,,
San Miguel,San Jorge,Tienda karlita,"13.4270497, -88.1354396",No,Retail,Retailers,-,,,,
San Miguel,San Jorge,MIRAFLORES BEER,"13.4251643, -88.0978361",No,Food & Beverage,Restaurants,7206 4395,,,,
San Miguel,San Jorge,Ferretería Luis,"13.4257228, -88.0960259",No,Retail,Retailers,-,,,,
San Miguel,San Jorge,Comedor Dany,"13.4257671, -88.0959565",No,Food & Beverage,Restaurants,-,,,,
San Miguel,San Jorge,Car Wash,"13.42578, -88.095844",No,Other,Other vendors,-,,,,
San Miguel,San Jorge,Tienda Belén,"13.4258048, -88.0945308",No,Retail,Retailers,-,,,,
San Miguel,San Jorge,Super josue,"13.4244428, -88.0690724",No,Retail,Retailers,-,,,,
San Miguel,San Jorge,Tienda Maria,"13.418103, -88.0752368",No,Retail,Retailers,-,,,,
San Miguel,San Jorge,Carwash El desvio de anchico,"13.4174721, -88.0753589",No,Other,Other vendors,7585 3459,,,,
San Miguel,San Jorge,Ferretería El Constructor,"13.4132613, -88.0691089",No,Retail,Retailers,7471 9948,,,,
San Miguel,San Jorge,Servicios Jurídicos Castillo,"13.412542, -88.0689254",No,Other,Other vendors,7114 8100,,,,
San Miguel,San Jorge,Panadería y Pastelería,"13.4112373, -88.0692605",No,Food & Beverage,Restaurants,-,,,,
La Union,San Alejo,Panadería Juan Diego,"13.4307248, -87.9559016",No,Food & Beverage,Restaurants,-,,,,
La Union,San Alejo,Taller Automotriz Cueva,"13.4268673, -87.9606478",No,Other,Other vendors,-,,,,
La Union,San Alejo,Taller castro,"13.4145914, -87.8893803",No,Other,Other vendors,-,,,,
La Union,San Alejo,Car whash auto detailing,"13.4128386, -87.8901036",No,Other,Other vendors,6426 8874,,,,
La Union,San Alejo,Rancho Dos Potrillos,"13.4266395, -87.8840046",No,Food & Beverage,Restaurants,-,,,,
La Union,San Alejo,Margarita coffee shop,"13.4280625, -87.8831875",No,Food & Beverage,Restaurants,-,,,,
La Union,San Alejo,Stiven carwash,"13.4282874, -87.8831288",No,Other,Other vendors,7388 7470,,,,
La Union,San Alejo,Salinera Roque,"13.4307866, -87.7922466",No,Other,Other vendors,-,,,,
La Union,San Alejo,Tienda Altagracia,"13.4312506, -87.7733119",No,Retail,Retailers,-,,,,
Sonsonate,Acajutla,Restaurante El Furgón - Lotificación San Felipito,"13.4429375, -89.7169375",No,Food & Beverage,Restaurants,-,,,,
La Libertad,La Libertad,Valerita Ranch,"13.4614579, -89.2404359",No,Food & Beverage,Restaurants,-,,,,
La Libertad,La Libertad,Rancho El Mariachi,"13.4618629, -89.2426501",No,Food & Beverage,Restaurants,7386 9936,,,,
La Libertad,La Libertad,La Ramadita,"13.4621795, -89.2419806",No,Accommodation,Accommodations,-,,,,
La Libertad,La Libertad,Sevillana Mar Gastrobar,"13.4427646, -89.2036562",No,Food & Beverage,Restaurants,-,,,,
La Libertad,La Libertad,Elii store,"13.4624527, -89.177235",No,Food & Beverage,Restaurants,7749 0936,,,,
La Paz,San Luis Talpa,Turbo Carwash y Taller de motos Duran,"13.4455953, -89.1076126",No,Other,Other vendors,-,,,,
La Paz,San Luis Talpa,Rancho Talpa Clara,"13.4506927, -89.0954178",No,Food & Beverage,Restaurants,-,,,,
La Paz,San Luis Talpa,Agroferreteria Santa Clara,"13.4550664, -89.0962522",No,Retail,Retailers,6848 4081,,,,
La Paz,San Luis Talpa,Subway,"13.4450736, -89.0567965",No,Food & Beverage,Restaurants,2339 8266,,,,
La Paz,San Luis Talpa,BAC CREDOMATIC,"13.4435272, -89.0666032",No,Other,Other vendors,2206 4000,,,,
La Paz,San Luis Talpa,Subway,"13.4415562, -89.0679507",No,,,,,,,
La Paz,San Luis Talpa,Brenda’s Boutique Clothing Store,"13.4554687, -89.0375848",No,Other,Other vendors,7423 8817,,,,
La Paz,San Luis Talpa,Establo Coop. Astoria,"13.4406733, -89.034283",No,,,,,,,
La Paz,San Luis Talpa,Variedades Key's,"13.4556473, -89.0398815",No,,,7432 8422,,,,
La Paz,San Luis Talpa,Magenta Image Beauty Studio,"13.4572415, -89.0391166",No,,,7335 2050,,,,
La Paz,San Luis Talpa,Carwash prado,"13.4498846, -89.0063918",No,Other,Other vendors,,,,,
La Paz,San Luis Talpa,El Bajonazo SV,"13.4484389, -89.0062945",No,,,7110 6079,,,,
La Paz,San Luis Talpa,Jungla mix,"13.4484419, -89.0062983",No,,,6997 3603,,,,
La Paz,San Luis Talpa,Ciber Misericordia de Dios,"13.4484387, -89.0063031",No,,,7963 0592,,,,
La Paz,San Luis Talpa,Carwash Edwin,"13.4514108, -89.0069927",No,Other,Other vendors,7909 3871,,,,
La Paz,San Luis Talpa,Tienda Mari,"13.446317, -89.0061622",No,Retail,Retailers,-,,,,
La Paz,San Luis Talpa,Peluquería el chino 🇸🇻🇺🇸,"13.4462842, -89.0061737",No,,,6832 2763,,,,
La Paz,San Luis Talpa,Deli's closet outfits,"13.449161, -89.0075864",No,,,-,,,,
La Paz,San Luis Talpa,Tienda Huguito,"13.4478452, -89.0073174",No,Retail,Retailers,-,,,,
La Paz,San Luis Talpa,Tienda,"13.4601986, -88.9711739",No,Retail,Retailers,-,,,,
La Paz,San Luis Talpa,Tienda el milagro 2,"13.4399369, -88.9674063",No,Retail,Retailers,7743 8897,,,,
La Paz,San Luis Talpa,Tienda Karen,"13.4402674, -88.9754231",No,Retail,Retailers,-,,,,
La Paz,San Luis Talpa,Pupuseria y antojos,"13.4401577, -88.9752376",No,Food & Beverage,Restaurants,-,,,,
La Paz,San Luis Talpa,Tienda Morenita,"13.4386528, -88.9672734",No,Retail,Retailers,-,,,,
La Paz,San Luis Talpa,Taller de motos innovation,"13.4633615, -88.9416684",No,Other,Other vendors,-,,,,
La Paz,San Luis Talpa,Tienda Dinora Pineda,"13.4467083, -88.8812995",No,Retail,Retailers,-,,,,
La Paz,San Luis Talpa,Mini Tienda Rivas,"13.4469578, -88.8775887",No,Retail,Retailers,-,,,,
La Paz,San Luis Talpa,La cucchilla,"13.4510703, -88.8879723",No,,,-,,,,
La Paz,San Luis Talpa,Tienda Tere,"13.444739, -88.8424315",No,Retail,Retailers,-,,,,
La Paz,San Luis Talpa,Rancho Los Turcios,"13.4427006, -88.8437043",No,,,-,,,,
La Paz,San Luis Talpa,Tienda José,"13.438853, -88.8462624",No,Retail,Retailers,-,,,,
La Paz,San Luis Talpa,Cantina de Nacho,"13.4374756, -88.8469529",No,,,-,,,,
La Paz,San Luis Talpa,Tienda Diaz,"13.4368854, -88.8468668",No,Retail,Retailers,-,,,,
